,avstånd till framförvarande fordon (sek),avstånd till fordon i närliggande fil,vinkel mellan last bil och släp,hastighet,avvikelse från mitten av filen,acceleration i sidled,acc
0,5.386363636363637,6.5,0.0,15.277777777777777,0.0,1.0250123398460542e-10,0.4905000099169647
1,5.301678960890524,6.499999999817671,1.1896049669848265e-10,15.375877779761167,1.8232837462051066e-10,8.906355291500884e-11,0.49050000990328096
2,5.216800094120844,6.49999999961114,1.4933861081278033e-11,15.473977781741821,3.8885961117784973e-10,6.382770480113468e-12,0.4905000098859082
3,5.131730706258214,6.499999999576422,7.431342836721704e-12,15.572077783719001,4.2357717333629807e-10,5.2964479464430775e-12,0.49050000986338826
4,5.04647437559321,6.499999999562992,1.1663801159153817e-12,15.670177785691676,4.370077633097935e-10,7.378609774576691e-13,0.49050000983346237
5,4.96103459136286,6.499999999560706,2.8811193694422003e-13,15.768277787658368,4.3929393456210164e-10,2.108574253617162e-13,0.4905000097924784
6,4.875414756504084,6.4999999995601945,3.5564240333518143e-14,15.86637778961686,4.398055253318489e-10,2.3249286233685444e-14,0.49050000973421176
7,4.789618190305658,6.499999999560126,7.54545275810772e-15,15.9644777915637,4.398739150701658e-10,3.3197894821590594e-15,0.490500009647329
8,4.70364813096313,6.499999999560108,3.519960827690561e-15,16.062577793493166,4.398916786385598e-10,1.003280129904021e-15,0.49050000950934847
9,4.617507738041003,6.499999999560099,2.2959562854987366e-15,16.160677795395035,4.399010045119667e-10,3.4919913348851854e-17,0.49050000927018006
10,4.531200094846657,6.499999999560092,2.3388180728712458e-15,16.25877779724907,4.399081099393243e-10,7.442535558396927e-16,0.49050000879777
11,4.444728210721754,6.499999999560085,1.4197695661080933e-15,16.35687779900862,4.399143271882622e-10,2.0657414245077978e-16,0.4905000076351862
12,4.358095023264497,6.499999999560082,1.1631450436978915e-15,16.454977800535662,4.3991832399115083e-10,2.0399781908831593e-16,0.4905000030282962
13,4.271303400575786,6.499999999560078,9.08205693385758e-16,16.553077801141317,4.3992187670482963e-10,2.5644608186913834e-16,0.4314056681470815
14,4.187399302970804,6.499999999560076,5.417851792360075e-16,16.63935893477073,4.399240971508789e-10,6.597899367780398e-17,0.10371303153481476
15,4.119864452316088,1000.0,1.4838008626752022e-16,16.660101541077697,4.3992542941850843e-10,1.0525952866891776e-17,0.024931807906319017
16,4.056174662405513,1000.0,4.0966281215393236e-16,16.665087902658957,4.3992631759692813e-10,5.1831878689075986e-18,0.005987820298554127
17,3.9933935010862256,1000.0,1.2614843208990994e-16,16.666285466718666,4.39926761686138e-10,9.54688240059608e-19,0.001419017682334803
18,3.930827972039318,1000.0,2.903148312196866e-16,16.666569270255128,4.39926761686138e-10,1.6601254033237917e-19,0.00029331145175688037
19,3.8683147722409483,1000.0,6.00490025491405e-17,16.666627932545484,4.39926761686138e-10,3.727347774718184e-15,8.194719106883493e-06
20,3.8058146707911438,1000.0,2.8156192858978085e-10,16.6666295714893,9.091958297346991e-10,1.3333783107282696e-07,-0.5297749471444966
21,3.76790441989752,1000.0,1.5558729895446465e-07,16.560674582060404,2.598642985240929e-07,4.3748843623494166e-07,-0.7941053857721454
22,3.743141111719168,1000.0,1.8165292728642453e-07,16.401853504905976,2.16904848304722e-07,2.887930102291057e-07,-0.8361232826453034
23,3.721826380681784,1000.0,2.768606359725738e-08,16.234628848376918,-3.43419936932321e-08,4.133281615792752e-08,-0.8240847870381778
24,3.7015798469939067,1000.0,2.4034902810002776e-09,16.06981189096928,6.494976112492168e-09,2.3780824969002834e-09,-0.7996048228512559
25,3.6818220691462424,1000.0,6.372232700775088e-10,15.909890926399028,1.6329200214215689e-09,9.472507141148846e-09,-0.773430141041788
26,3.662443254714997,1000.0,6.5648092431591294e-09,15.755204898190668,1.1017799117496452e-08,4.972552892571106e-09,-0.7469281768738131
27,3.6433913835159606,1000.0,2.6875822471217786e-09,15.605819262815904,2.5526022628952205e-08,8.29616705977247e-09,-0.7210502421594086
28,3.624657029068907,1000.0,3.950577377183067e-09,15.461609214384024,2.356412220905213e-08,2.8945263601525717e-09,-0.6960006125863062
29,3.6062406556564226,1000.0,6.328094307362528e-09,15.322409091866765,7.743181207331418e-09,8.160588298310994e-09,-0.6719799716857358
30,3.5881532330940606,1000.0,5.527824422543047e-10,15.188013097529618,-1.0671792338712294e-09,0.008556071114192876,0.4905000099373944
31,3.515686224699461,1000.0,0.009873478882975843,15.28611150821988,0.015044403674545848,0.00855607111395988,0.4905000099282267
32,3.4428702864408565,1000.0,0.019811495591795333,15.384200308953389,0.06057012156985353,0.00855607111366925,0.4905000099167901
